Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Microsoft Services Agreement,https://www.microsoft.com/en-US/servicesagreement/,5/1/2018,"August 20, 2018"
2,Summary of Changes to Microsoft Services Agreement,https://www.microsoft.com/en-us/servicesagreement/Updates.aspx,May 2018,"August 30, 2018"
3,Microsoft Privacy Statement,https://privacy.microsoft.com/en-us/privacystatement,11/1/2018,"February 15, 2019"
4,Microsoft Privacy Statement (Spanish),https://privacy.microsoft.com/es-es/privacystatement,November 2018,"August 30, 2018"
5,Change History for Microsoft Privacy Statement,https://privacy.microsoft.com/en-us/Updates,"August 1, 2018","August 30, 2018"
6,Microsoft Salient Human Rights Issues Report FY2017,https://www.microsoft.com/en-us/about/corporate-responsibility/human-rights,11/1/2017,"August 31, 2018"
7,Microsoft Human Rights Statement,https://www.microsoft.com/en-us/about/corporate-responsibility/human-rights-statement,None found,"August 31, 2018"
8,Global Network Initiative (GNI) Public Report on the 2015/2016 Independent Company Assessments,https://globalnetworkinitiative.org/gin_tnetnoc/uploads/2018/02/Public-Report-2015-16-Independent-Company-Assessments.pdf,7/1/2016,"August 31, 2018"
9,GNI members,https://globalnetworkinitiative.org/#home-menu,None found,"August 31, 2018"
10,How to close your Microsoft account,https://support.microsoft.com/en-us/help/12412/microsoft-account-how-to-close-account,"July 13, 2018","September 9, 2018"
11,Help protect your Microsoft account,https://support.microsoft.com/en-us/help/12410/microsoft-account-help-protect-account,"August 27, 2018","September 9, 2018"
12,About two step verification,https://support.microsoft.com/en-us/help/12408/microsoft-account-about-two-step-verification,8/16/2018,"September 9, 2018"
13,What is the recent activity page,https://support.microsoft.com/en-us/help/13782/microsoft-account-what-is-the-recent-activity-page,"August 3, 2017","September 9, 2018"
14,Office 365 Breach Notification Under the GDPR,https://docs.microsoft.com/en-us/microsoft-365/compliance/gdpr-breach-office365?toc=/microsoft-365/enterprise/toc.json#what-to-expect-in-the-event-of-breach,4/12/2018,"September 9, 2018"
15,Microsoft Bounty Program,https://www.microsoft.com/en-us/msrc/bounty?rtc=1,None found,"September 9, 2018"
16,Microsoft Bounty Terms and Conditions,https://www.microsoft.com/en-us/msrc/bounty-terms?rtc=1,2/1/2018,"September 9, 2018"
17,Microsoft Trust Center,https://www.microsoft.com/en-us/trustcenter/security,None found,"September 9, 2018"
18,Microsoft Design and Operational Security,https://www.microsoft.com/en-us/trustcenter/security/designopsecurity,None found,"September 9, 2018"
19,Microsoft Security Development Lifecycle,https://www.microsoft.com/en-us/SDL/process/release.aspx,None found,"September 9, 2018"
20,About our practices and your data,https://blogs.microsoft.com/datalaw/our-practices/,None found,"September 9, 2018"
21,Export contacts from Outlook,https://support.office.com/en-us/article/Export-contacts-from-Outlook-10f09abd-643c-4495-bb80-543714eca73f?ui=en-US&rs=en-001&ad=US,None found,"September 9, 2018"
22,How do I manage my Skype conversation history,https://support.skype.com/en/faq/FA10888/how-do-i-manage-my-conversation-history-in-skype-for-mac,None found,"September 9, 2018"
23,Microsoft Privacy Dashboard,https://account.microsoft.com/account/privacy?ru=https%3A%2F%2Faccount.microsoft.com%2Fprivacy&destrt=privacy-dashboard,None found,"September 9, 2018"
24,How Bing Delivers Search Results,https://help.bing.microsoft.com/#apex/18/en-us/10016/0,None found,"September 9, 2018"
25,Content Removal Requests Report H2 2017,https://www.microsoft.com/en-us/about/corporate-responsibility/crrr/,"April 19, 2018","September 9, 2018"
26,Bing Moving to Encrypt Search Traffic by Default,https://blogs.bing.com/webmaster/2015/06/15/bing-moving-to-encrypt-search-traffic-by-default,"June 15, 2015","September 10, 2018"
27,Advancing our Encryption and Transparency Efforts,https://blogs.microsoft.com/on-the-issues/2014/07/01/advancing-our-encryption-and-transparency-efforts/#sm.0001lfyyffs41fehz6o24i5ck4jg3,7/1/2014,"September 10, 2018"
28,Email encryption in Office 365,https://docs.microsoft.com/en-us/office365/securitycompliance/email-encryption?redirectSourcePath=%252fen-us%252farticle%252fEmail-encryption-in-Office-365-C0D87CBE-6D65-4C03-88AD-5216EA5564E8,"June, 2018","September 10, 2018"
29,Does Skype Use Encryption?,https://support.skype.com/en/faq/FA31/does-skype-use-encryption?,None found,"September 10, 2018"
30,What are Skype private conversations?,https://support.skype.com/en/faq/FA34824/what-are-skype-private-conversations,None found,"September 10, 2018"
31,Skype Private Conversation Technical Whitepaper,https://az705183.vo.msecnd.net/onlinesupportmedia/onlinesupport/media/skype/documents/skype-private-conversation-white-paper.pdf,"June, 2018","September 10, 2018"
32,Microsoft Trust Center Encryption,https://www.microsoft.com/en-us/trustcenter/security/encryption,None found,"September 10, 2018"
33,Law Enforcement Transparency Report H2 2017,https://www.microsoft.com/en-us/about/corporate-responsibility/lerr/,None found,"September 11, 2018"
34,Data - Law Enforcement Transparency Report H2 2017,https://www.microsoft.com/en-us/about/corporate-responsibility/lerr/,None found,"September 11, 2018"
35,Data - National Security Orders Report,https://www.microsoft.com/en-us/about/corporate-responsibility/fisa,None found,"September 11, 2018"
36,Revenge porn blog post,https://blogs.microsoft.com/on-the-issues/2015/07/22/revenge-porn-putting-victims-back-in-control/,7/22/2015,"September 11, 2018"
37,Submitting privacy-related requests to block results in the EU,https://help.bingads.microsoft.com/apex/index/18/en-US/10013,None found,"September 12, 2018"
38,Request to Reinstate Disabled Content,https://www.microsoft.com/en-us/concern/reinstatecontent,None found,"September 12, 2018"
39,Content Removal Requests Report H1 2018,https://www.microsoft.com/en-us/corporate-responsibility/crrr/,None found,"November 16, 2018"
40,Law Enforcement Transparency Report H1 2018,https://www.microsoft.com/en-us/corporate-responsibility/lerr/,None found,"November 26, 2018"
41,Data - Law Enforcement Transparency Report H1 2018,https://www.microsoft.com/en-us/about/corporate-responsibility/lerr/,None found,"November 26, 2018"
42,Data - National Security Orders Report H1 2018,https://www.microsoft.com/en-us/about/corporate-responsibility/fisa,None found,"November 26, 2018"
43,Microsoft Salient Human Rights Issues Report FY2018,https://www.microsoft.com/en-us/corporate-responsibility/human-rights,None found,"May 1, 2018"
