Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Verizon Media,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. Oath makes a commitment to human rights, including to freedom of expression and privacy. On the Oath Business and Human Rights Program homepage (Source 61), the company states: ""Oath is committed to respecting and promoting free expression and privacy in our business operations not just when it’s easy, but every single day."" Additionally, on the page ""Our Oath: Put customers first"" in the Oath Transparency Report (Source 37), the company states: ""As a global internet company, Oath is committed to respecting our users’ rights to privacy and freedom of expression across the globe.""",NA
Internet,Verizon Media,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. Oath makes a commitment to human rights, including to freedom of expression and privacy. On the Oath Business and Human Rights Program homepage (Source 61), the company states: ""Oath is committed to respecting and promoting free expression and privacy in our business operations not just when it’s easy, but every single day."" Additionally, on the page ""Our Oath: Put customers first"" in the Oath Transparency Report (Source 37), the company states: ""As a global internet company, Oath is committed to respecting our users’ rights to privacy and freedom of expression across the globe.""",NA
Internet,Verizon Media,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,37; 61
Internet,Verizon Media,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,37; 61
Internet,Verizon Media,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Internet,Verizon Media,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The ""Oath - GNI Principles"" (Source 62) state: ""The Business and Human Rights Program (BHRP) leads the company’s efforts to make responsible decisions in the areas of free expression and privacy. A full-time core team consisting of senior-level employees guides, directs, and manages the BHRP. Oath’s human rights team is under the remit of Oath’s General Counsel. The Corporate Governance and Policy Committee of the Verizon Board of Directors receives periodic updates on information about global human rights risks and opportunities related to Oath.""",NA
Internet,Verizon Media,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The ""Oath - GNI Principles"" (Source 62) state: ""The Business and Human Rights Program (BHRP) leads the company’s efforts to make responsible decisions in the areas of free expression and privacy. A full-time core team consisting of senior-level employees guides, directs, and manages the BHRP. Oath’s human rights team is under the remit of Oath’s General Counsel. The Corporate Governance and Policy Committee of the Verizon Board of Directors receives periodic updates on information about global human rights risks and opportunities related to Oath.""",NA
Internet,Verizon Media,Social Networking and Blog,Tumblr,Tumblr - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The ""Oath - GNI Principles"" (Source 62) state: ""The Business and Human Rights Program (BHRP) leads the company’s efforts to make responsible decisions in the areas of free expression and privacy. A full-time core team consisting of senior-level employees guides, directs, and manages the BHRP. Oath’s human rights team is under the remit of Oath’s General Counsel. The Corporate Governance and Policy Committee of the Verizon Board of Directors receives periodic updates on information about global human rights risks and opportunities related to Oath.""",NA
Internet,Verizon Media,Social Networking and Blog,Tumblr,Tumblr - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The ""Oath - GNI Principles"" (Source 62) state: ""The Business and Human Rights Program (BHRP) leads the company’s efforts to make responsible decisions in the areas of free expression and privacy. A full-time core team consisting of senior-level employees guides, directs, and manages the BHRP. Oath’s human rights team is under the remit of Oath’s General Counsel. The Corporate Governance and Policy Committee of the Verizon Board of Directors receives periodic updates on information about global human rights risks and opportunities related to Oath.""",NA
Internet,Verizon Media,Email,Yahoo Mail,Yahoo Mail - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The ""Oath - GNI Principles"" (Source 62) state: ""The Business and Human Rights Program (BHRP) leads the company’s efforts to make responsible decisions in the areas of free expression and privacy. A full-time core team consisting of senior-level employees guides, directs, and manages the BHRP. Oath’s human rights team is under the remit of Oath’s General Counsel. The Corporate Governance and Policy Committee of the Verizon Board of Directors receives periodic updates on information about global human rights risks and opportunities related to Oath.""",NA
