Source reference number,Document title,URL,"Date of documen (if applicable)",Date accessed
1,Facebook Terms of Service,https://www.facebook.com/legal/terms,"April 19, 2018","2018-09-14"
2,Facebook Community Standards,https://www.facebook.com/communitystandards/introduction,unknown,"2018-09-14"
3,Instagram Terms of Use,https://help.instagram.com/581066165581870/?helpref=hc_fnav&bc[0]=Instagram%20Help&bc[1]=Privacy%20and%20Safety%20Center,"April 19, 2018","2018-09-14"
4,Instagram Community Guidelines,https://help.instagram.com/477434105621119/?helpref=hc_fnav&bc[0]=Instagram%20Help&bc[1]=Privacy%20and%20Safety%20Center,unknown,"2018-09-14"
5,WhatsApp Legal Info (Terms of service and privacy policy),https://www.whatsapp.com/legal/,unknown,"2018-09-14"
6,Facebook Data Policy,https://www.facebook.com/privacy/explanation,"April 19, 2018","2018-09-17"
7,Deactivating or Deleting Your Account,https://www.facebook.com/help/250563911970368/?helpref=hc_fnav,unknown,"2018-09-18"
8,Security Tips,https://www.facebook.com/help/379220725465972/,unknown,"2018-09-18"
9,Instagram Security Tips,https://help.instagram.com/369001149843369,unknown,"2018-09-18"
10,WhatsApp FAQ Staying Safe on WhatsApp,https://faq.whatsapp.com/en/general/21197244,unknown,"2018-09-18"
11,Facebook two factor authentication,https://www.facebook.com/help/148233965247823,unknown,"2018-09-18"
12,Facebook help page - How do I get alerts about unrecognized logins?,https://www.facebook.com/help/162968940433354?helpref=faq_content,unknown,"2018-09-19"
13,Facebook help page - Explore your activity log,https://www.facebook.com/help/activitylog,unknown,"2018-09-19"
14,Instagram Two factor authentication,https://help.instagram.com/566810106808145?helpref=search&sr=1&query=two-factor,unknown,"2018-09-19"
15,WhatsApp two step verification,https://faq.whatsapp.com/en/android/26000021/,unknown,"2018-09-19"
16,GNI 2015/16 Independent Company Assessments,https://globalnetworkinitiative.org/wp-content/uploads/2018/02/Public-Report-2015-16-Independent-Company-Assessments.pdf,July 2016,"2018-09-19"
17,Facebook Principles,https://www.facebook.com/principles.php,unknown,"2018-09-19"
18,Secure browsing by default,https://www.facebook.com/notes/facebook-engineering/secure-browsing-by-default/10151590414803920,"July 31, 2013","2018-09-19"
19,Making Connections to Facebook more Secure,https://www.facebook.com/notes/protect-the-graph/making-connections-to-facebook-more-secure/1526085754298237/,October 2014,"2018-09-19"
20,Facebook help center - secret conversations,https://www.facebook.com/help/messenger-app/1084673321594605/?helpref=hc_fnav,unknown,"2018-09-19"
21,Code of Conduct,https://s21.q4cdn.com/399680738/files/doc_downloads/governance_documents/Code-of-Conduct_2017-Updates-(June-2017-Update-IR-page).pdf,June 2017,"2018-09-19"
22,WhatsApp end to end encryption,https://faq.whatsapp.com/en/general/28030015,unknown,"2018-09-19"
23,Notifications for targeted attacks,https://www.facebook.com/notes/facebook-security/notifications-for-targeted-attacks/10153092994615766/,"October 16, 2015","2018-09-19"
24,Facebook Bug Bounty Program,https://www.facebook.com/whitehat,"September 12, 2018","2018-09-19"
25,Facebook whitehat security,https://www.facebook.com/security/posts/10154333075936886:0,"October 12, 2016","2018-09-19"
26,Information for Law Enforcement Authorities,https://www.facebook.com/safety/groups/law/guidelines/,unknown,"2018-09-19"
27,Government Data Requests Transparency Report H2 2017,https://transparency.facebook.com/government-data-requests,NA,"2018-09-19"
28,Law Enforcement and Third Party Matters,https://www.facebook.com/help/473784375984502,unknown,"2018-09-19"
29,Advertising Policies,https://www.facebook.com/policies/ads/,unknown,"2018-09-19"
30,Understanding the Facebook Community Standards Enforcement Report,https://fbnewsroomus.files.wordpress.com/2018/05/understanding_the_community_standards_enforcement_report.pdf,unknown,"2018-09-19"
31,Facebook Help - Copyright,https://www.facebook.com/help/1020633957973118/?helpref=hc_fnav,unknown,"2018-09-19"
32,Publishing Our Internal Enforcement Guidelines and Expanding Our Appeals Process,https://newsroom.fb.com/news/2018/04/comprehensive-community-standards/,"April 24, 2018","2018-09-19"
33,Government Data Requests - Data - H22017,Excel sheet available here: https://transparency.facebook.com/government-data-requests,unknown,"2018-09-19"
34,Government Data Requests - US report,https://transparency.facebook.com/government-data-requests/country/US,NA,"2018-09-19"
35,FACEBOOK INC. AND THE EU-U.S. and SWISS-U.S. PRIVACY SHIELD,https://m.facebook.com/about/privacyshield,unknown,"2018-09-20"
36,Instagram Help - Copyright,https://help.instagram.com/585021874940806?helpref=search&sr=2&query=content%20removal,unknown,"2018-09-20"
37,What names are allowed on Facebook?,https://www.facebook.com/help/112146705538576,unknown,"2018-09-20"
38,What types of ID does Facebook accept?,https://www.facebook.com/help/159096464162185?helpref=faq_content,unknown,"2018-09-20"
39,Instagram Information for Law Enforcement,https://help.instagram.com/494561080557017/?helpref=hc_fnav,unknown,"2018-09-20"
40,Facebook Help - Account Disabled,https://www.facebook.com/help/103873106370583?helpref=search&sr=1&query=disable%20account,unknown,"2018-09-20"
41,Facebook Help - How does Facebook decide which ads to show me and how can I control the ads I see?,https://www.facebook.com/help/562973647153813?helpref=faq_content,unknown,"2018-09-20"
42,Facebook Help - What are my ad preferences and how can I adjust them?,https://www.facebook.com/help/247395082112892?helpref=search&sr=1&query=How%20can%20I%20view%20and%20adjust%20my%20ad%20preferences,unknown,"2018-09-20"
43,Transparency Report - Community Standards Enforcement Preliminary Report,https://transparency.facebook.com/community-standards-enforcement,unknown,"2019-03-01"
44,Copyright help page,https://www.facebook.com/help/1020633957973118/?helpref=hc_fnav,unknown,"2018-09-20"
45,Instagram - What can I do if I see an ad I don't like?,https://help.instagram.com/615366948510230?helpref=search&sr=1&query=ad%20i%20don%27t%20like,unknown,"2018-09-20"
46,Accessing and downloading your information,https://www.facebook.com/help/1701730696756992,unknown,"2018-09-20"
47,How do I download a copy of my information on Facebook?,https://www.facebook.com/help/212802592074644?helpref=faq_content,unknown,"2018-09-20"
48,WhatsApp - Requesting your account information,https://faq.whatsapp.com/general/26000110,unknown,"2018-09-20"
49,Facebook Cookies Policy,https://www.facebook.com/policies/cookies,"April 4, 2018","2018-09-20"
50,Instagram Cookies Policy,https://help.instagram.com/1896641480634370?ref=ig,unknown,"2018-09-20"
51,Content Restrictions Transparency Report H2 2017,https://transparency.facebook.com/content-restrictions,unknown,"2018-09-20"
52,Intellectual Property Transparency Report H2 2017,https://transparency.facebook.com/intellectual-property,unknown,"2018-09-20"
53,Image Privacy Rights,https://www.facebook.com/help/428478523862899,unknown,"2018-09-20"
54,Trademark help page,https://www.facebook.com/help/507663689427413/?helpref=hc_fnav,unknown,"2018-09-20"
55,Content Restrictions data H2 2017,https://transparency.facebook.com/content-restrictions,unknown,"2018-09-20"
56,Content Restrictions India,https://transparency.facebook.com/content-restrictions/country/IN,unknown,"2018-09-20"
