Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Mail.Ru,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Group,NA,Group - Privacy,Governance,G1,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Total,NA,NA,Governance,G1,Indicator,NA,0,NA,NA,NA
Internet,Mail.Ru,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Messaging and VoIP,Mail.Ru Agent,Mail.Ru Agent - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Messaging and VoIP,Mail.Ru Agent,Mail.Ru Agent - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Cloud,Mail.Ru Cloud Solutions,Mail.Ru Cloud Solutions - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Cloud,Mail.Ru Cloud Solutions,Mail.Ru Cloud Solutions - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Email,Mail.Ru email,Mail.Ru email - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Email,Mail.Ru email,Mail.Ru email - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Social Networking and Blog,VKontakte,VKontakte - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Social Networking and Blog,VKontakte,VKontakte - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Messaging and VoIP,Mail.Ru Agent,Mail.Ru Agent - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Messaging and VoIP,Mail.Ru Agent,Mail.Ru Agent - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Cloud,Mail.Ru Cloud Solutions,Mail.Ru Cloud Solutions - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Cloud,Mail.Ru Cloud Solutions,Mail.Ru Cloud Solutions - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Email,Mail.Ru email,Mail.Ru email - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Email,Mail.Ru email,Mail.Ru email - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Social Networking and Blog,VKontakte,VKontakte - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Social Networking and Blog,VKontakte,VKontakte - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Group,NA,Group - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Messaging and VoIP,Mail.Ru Agent,Mail.Ru Agent - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Messaging and VoIP,Mail.Ru Agent,Mail.Ru Agent - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Cloud,Mail.Ru Cloud Solutions,Mail.Ru Cloud Solutions - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Cloud,Mail.Ru Cloud Solutions,Mail.Ru Cloud Solutions - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Email,Mail.Ru email,Mail.Ru email - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Email,Mail.Ru email,Mail.Ru email - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Social Networking and Blog,VKontakte,VKontakte - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Social Networking and Blog,VKontakte,VKontakte - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Group,NA,Group - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Group,NA,Group - Privacy,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Messaging and VoIP,Mail.Ru Agent,Mail.Ru Agent - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Messaging and VoIP,Mail.Ru Agent,Mail.Ru Agent - Privacy,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Cloud,Mail.Ru Cloud Solutions,Mail.Ru Cloud Solutions - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Cloud,Mail.Ru Cloud Solutions,Mail.Ru Cloud Solutions - Privacy,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Email,Mail.Ru email,Mail.Ru email - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Email,Mail.Ru email,Mail.Ru email - Privacy,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Social Networking and Blog,VKontakte,VKontakte - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Social Networking and Blog,VKontakte,VKontakte - Privacy,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Mail.Ru,Total,NA,NA,Governance,G2,Indicator,NA,0,NA,NA,NA
Internet,Mail.Ru,Group,NA,Group - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Group,NA,Group - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Messaging and VoIP,Mail.Ru Agent,Mail.Ru Agent - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Messaging and VoIP,Mail.Ru Agent,Mail.Ru Agent - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Cloud,Mail.Ru Cloud Solutions,Mail.Ru Cloud Solutions - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Cloud,Mail.Ru Cloud Solutions,Mail.Ru Cloud Solutions - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Email,Mail.Ru email,Mail.Ru email - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Email,Mail.Ru email,Mail.Ru email - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Social Networking and Blog,VKontakte,VKontakte - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Mail.Ru,Social Networking and Blog,VKontakte,VKontakte - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
